Sonnet,line,sentiment_m,sentiment_v,sentiment_r
20,3,0.264135272,0.974231581,0.689148402
20,4,0.523255952,0.785699877,0.457307399
20,5,0.724836948,0.47753,0.021050287
20,6,0.934198733,0.71437419,0.453837077
20,7,1.195713063,0.525143148,0.521123345
20,8,1.579084068,0.383169541,0.624173554
20,9,2.277216346,0.116117091,0.326814232
20,10,2.18861398,0.057820574,0.409915684
20,11,1.400771988,0.213241959,0.406077994
20,12,0.890484069,1.04262242,0.203629933
20,13,0.353553391,1.906037519,0.709904872
21,3,0,0.043975227,0.608349768
21,4,0.239745711,0.165129818,0.716133409
21,5,0.400818834,0.340445383,0.607632151
21,6,0.544949261,0.428632985,0.656190328
21,7,0.7,0.585703709,0.184497474
21,8,0.890870806,0.350105909,0.045066947
21,9,1.156011953,0.413004029,0.1980357
21,10,0.544949261,0.864248062,0.435534514
21,11,0,1.575642145,1.119177637
21,12,0.239745711,0.805405479,0.825756889
21,13,0.676715542,0.645852437,1.799660225
22,3,0.6770032,0.049275209,0.541559098
22,4,0.124394083,0.051259337,0.246043367
22,5,0.644503387,0.748840245,0.321308524
22,6,0.370991117,0.081526219,0.210269434
22,7,0.171498585,0.089328677,0.18975434
22,8,0,0.100153851,0.326346377
22,9,0.171498585,0.115172924,0.146752859
22,10,0.370991117,0.48418018,0.306417968
22,11,0.644503387,0.529791139,0.516362545
22,12,1.106743142,0.625784233,1.267912497
22,13,2.140872096,0.049275209,1.203828637
23,3,0.776954655,0.585202752,0.67628137
23,4,0.83347626,1.007497599,1.072075846
23,5,0.905042056,1.125529129,1.021068834
23,6,1,1.241010528,1.345745468
23,7,1.135181203,0.614602457,0.512232652
23,8,1.351690671,0.486637373,0.711057382
23,9,1.792842914,0.819155933,0.551483178
23,10,1.569724526,0.852226663,0.267724928
23,11,1.560065004,1.590411948,0.838206971
23,12,0.993232231,0.963758594,1.037490167
23,13,1.996734282,1.318282102,0.972069906
24,3,0.215665546,0.009021549,0.505095157
24,4,0.039088155,0.279322064,0.170432798
24,5,0.194325083,0.433819659,0.792595643
24,6,0.319546092,0.169813959,0.928410782
24,7,0.441726104,0.036507525,0.629770527
24,8,0.579140507,0.228586275,0.341510694
24,9,0.75306978,0.43822998,0.146265704
24,10,1.000520698,0.118118671,0.531947264
24,11,1.408429434,0.372760947,0.84110389
24,12,2.276022265,0.769494615,0.846702462
24,13,6.639528096,0.328911592,1.351603747
25,3,1.354006401,0.778851627,0.651390897
25,4,0.585707413,0.759149068,0.879391844
25,5,0.187867287,1.141677351,1.31376368
25,6,0.516397779,1.726744331,1.90321765
25,7,0.23570226,1.184982623,1.781636399
25,8,0,0.768542865,0.961356012
