Sonnet,line,sentiment_m,sentiment_v,sentiment_r
7,14,0,0.380516685,0.229588963
8,1,1,0.460064586,0.646648759
8,2,2,0.330893434,1.608592095
8,3,2,0.506458558,1.197603429
8,4,0,0.49590958,0.07767261
8,5,2,0.235952637,0.658354993
8,6,2,0.772335845,0.712315895
8,7,0,0.997847147,0.036208894
8,8,0,0.679224973,0.45531409
8,9,2,0.49386437,0.485144657
8,10,0,0.882669537,0.584629622
8,11,0,1.004413348,0.933769746
8,12,0,0.048654467,0.290757487
8,13,1,0.566953714,0.608721052
8,14,1,0,0.05188014
9,1,1,0.537997847,0.529155739
9,2,0,0.531646932,0.460361339
9,3,0,0.645209903,0.659127301
9,4,0,1.03401507,0.08236276
9,5,0,1.004413348,0.101960798
9,6,0,0.296986006,0.353679939
9,7,1,0.61270183,0.373546268
9,8,1,0.294079656,0.019610779
9,9,0,0,0.063502288
9,10,0,0.716038751,0.782047417
9,11,2,1.331646932,1.054362313
9,12,0,0.119052745,0.621945239
9,13,0,1.228525296,0.164303413
9,14,0,0.987728741,0.179789771
10,1,1,0.089451023,0.633638484
10,2,0,0.083100108,0.413727819
10,3,2,0.753821313,1.027809033
10,4,2,0.753821313,1.209696283
10,5,0,0.615608181,0.359080995
10,6,0,0.615608181,0.762780314
10,7,0,0.083100108,0.328338971
10,8,0,0.515715823,0.371489993
10,9,1,0.432615716,0.099695458
10,10,1,0.566953714,0.723942021
10,11,2,0.284068891,1.469484473
10,12,0,0.851022605,0.614619971
10,13,0,0.685575888,0.109397931
10,14,0,0.05489774,0.422906636
11,1,1,0.006350915,0.37673394
11,2,1,0,0.260247771
11,3,1,0.342518837,0.229250073
11,4,0,0.342518837,0.273865414
11,5,0,0.924757804,0.88489823
11,6,2,1.35737352,1.654812584
11,7,0,0.432615716,0.734634131
11,8,0,0,0.279834623
11,9,1,0,0.429507202
11,10,1,0.763832078,0.831353655
11,11,2,1.449407966,1.705392473
11,12,0,0.036167922,0.311622527
